file,index,before_pt,after_pt,before_area,after_area
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4543(iou_0.00).bmp,4316,1777,417,86808,86233,0.662381
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4544(iou_0.00).bmp,4317,1181,107,51899,51603,0.570339
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4545(iou_0.00).bmp,4318,2157,322,98519,98321,0.200976
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4546(iou_0.00).bmp,4319,279,50,24453,24318,0.552079
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4547(iou_0.00).bmp,4320,562,59,33974,33177,2.345912
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4548(iou_0.00).bmp,4321,896,70,63878,64454,28878086640500736.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4549(iou_0.00).bmp,4322,1632,159,99891,98520,1.372496
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4550(iou_0.00).bmp,4323,1523,312,121133,120779,0.292241
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4551(iou_0.00).bmp,4324,315,37,13952,13932,0.143349
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4552(iou_0.00).bmp,4325,653,101,40355,40289,0.163549
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4553(iou_0.00).bmp,4326,1940,193,102828,102194,0.616564
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4554(iou_0.00).bmp,4327,937,158,94306,94098,0.220559
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4555(iou_0.00).bmp,4328,2222,197,102437,102435,0.001952
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4556(iou_0.00).bmp,4329,1159,245,60234,60127,0.177641
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4558(iou_0.00).bmp,4330,2182,136,95702,94972,0.762784
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4559(iou_0.00).bmp,4331,2751,671,126725,126363,0.285658
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4560(iou_0.00).bmp,4332,957,83,61646,60973,1.091717
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4561(iou_0.00).bmp,4333,164,21,13482,13098,2.848242
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4562(iou_0.00).bmp,4334,38,9,3793,3738,1.450040
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4563(iou_0.00).bmp,4335,679,94,65555,64550,1.533064
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4564(iou_0.00).bmp,4336,988,78,59266,59645,31125340231303168.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4565(iou_0.00).bmp,4337,951,58,49545,49163,0.771016
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4566(iou_0.00).bmp,4338,99,16,15506,15466,0.257965
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4567(iou_0.00).bmp,4339,443,69,30911,30380,1.717835
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4568(iou_0.00).bmp,4340,726,88,82346,82089,0.312098
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4569(iou_0.00).bmp,4341,633,63,29499,29618,62533456814407680.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4570(iou_0.00).bmp,4342,746,78,61853,61941,29823522758983680.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4571(iou_0.00).bmp,4343,188,26,31711,31322,1.226704
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4572(iou_0.00).bmp,4344,2333,166,97297,97141,0.160334
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4573(iou_0.00).bmp,4345,1579,371,51131,50833,0.582817
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4574(iou_0.00).bmp,4346,808,81,53442,53356,0.160922
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4575(iou_0.00).bmp,4347,370,82,18622,18703,99058876606840832.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4579(iou_0.00).bmp,4348,635,131,45626,45536,0.197256
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4580(iou_0.00).bmp,4349,1165,112,57567,57298,0.467282
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4581(iou_0.00).bmp,4350,652,65,56466,56552,32668764646408192.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4582(iou_0.00).bmp,4351,1808,126,79156,79221,23304290684633088.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4583(iou_0.00).bmp,4352,1794,146,92915,93371,19853353181773824.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4584(iou_0.00).bmp,4353,970,177,95517,95247,0.282672
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4585(iou_0.00).bmp,4354,2030,127,95591,94557,1.081692
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4586(iou_0.00).bmp,4355,1762,131,110179,109622,0.505541
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4587(iou_0.00).bmp,4356,1212,125,96297,94635,1.725910
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4588(iou_0.00).bmp,4357,204,23,23941,23651,1.211311
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4589(iou_0.00).bmp,4358,186,24,16018,15747,1.691847
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4590(iou_0.00).bmp,4359,986,113,52050,52494,35440429449084928.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4591(iou_0.00).bmp,4360,1178,250,48493,48275,0.449549
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4592(iou_0.00).bmp,4361,2475,193,109949,110139,16777545638739968.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4593(iou_0.00).bmp,4362,803,78,73473,73101,0.506308
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4594(iou_0.00).bmp,4363,572,49,29012,29005,0.024128
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4595(iou_0.00).bmp,4364,1424,112,56004,56066,32938260959330304.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4596(iou_0.00).bmp,4365,756,66,42343,42150,0.455801
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4597(iou_0.00).bmp,4366,809,157,99839,100545,18476491893374976.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4598(iou_0.00).bmp,4367,2307,558,125848,125595,0.201036
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4599(iou_0.00).bmp,4368,1183,90,49432,49121,0.629147
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4600(iou_0.00).bmp,4369,2537,430,97493,97061,0.443109
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4601(iou_0.00).bmp,4370,1083,219,68010,68038,27123575320215552.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4602(iou_0.00).bmp,4371,2088,192,112960,112344,0.545326
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4603(iou_0.00).bmp,4372,2415,113,92354,91876,0.517574
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4604(iou_0.00).bmp,4373,210,24,20915,20534,1.821659
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4605(iou_0.00).bmp,4374,1398,103,76207,76300,24206102820290560.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4606(iou_0.00).bmp,4375,898,107,92964,91190,1.908266
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4607(iou_0.00).bmp,4376,1060,156,100623,98679,1.931964
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4608(iou_0.00).bmp,4377,1960,447,135378,135142,0.174327
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4609(iou_0.00).bmp,4378,1130,104,51128,50805,0.631748
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4610(iou_0.00).bmp,4379,1859,230,105352,104738,0.582808
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4611(iou_0.00).bmp,4380,322,71,12016,11870,1.215047
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4612(iou_0.00).bmp,4381,553,72,32668,32120,1.677483
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4613(iou_0.00).bmp,4382,893,80,65008,65821,28376114485264384.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4614(iou_0.00).bmp,4383,1593,152,100012,98362,1.649802
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4615(iou_0.00).bmp,4384,1924,382,124084,123124,0.773669
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4616(iou_0.00).bmp,4385,300,30,13794,13948,133730206262231040.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4617(iou_0.00).bmp,4386,701,108,34432,34256,0.511152
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4618(iou_0.00).bmp,4387,1921,174,102948,101874,1.043245
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4619(iou_0.00).bmp,4388,1292,241,94884,94718,0.174950
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4620(iou_0.00).bmp,4389,2135,189,101130,100752,0.373776
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4621(iou_0.00).bmp,4390,1674,348,66569,66244,0.488215
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4622(iou_0.00).bmp,4391,25,6,240,246,7686143180793708544.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4626(iou_0.00).bmp,4392,962,84,61314,60846,0.763284
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4627(iou_0.00).bmp,4393,169,19,13203,12916,2.173748
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4628(iou_0.00).bmp,4394,44,9,3798,3792,0.157978
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4629(iou_0.00).bmp,4395,674,78,65871,65038,1.264593
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4630(iou_0.00).bmp,4396,987,83,59691,59887,30903728508764160.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4631(iou_0.00).bmp,4397,983,59,49469,49578,37289503064326144.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4632(iou_0.00).bmp,4398,96,14,15746,15694,0.330243
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4633(iou_0.00).bmp,4399,417,64,32568,32010,1.713338
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4634(iou_0.00).bmp,4400,686,85,82482,82390,0.111539
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4635(iou_0.00).bmp,4401,629,63,31487,31946,58585269472854016.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4636(iou_0.00).bmp,4402,811,99,64338,64214,0.192732
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4637(iou_0.00).bmp,4403,174,28,32972,32453,1.574063
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4638(iou_0.00).bmp,4404,2326,166,96504,96776,19115005353918464.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4639(iou_0.00).bmp,4405,1399,298,70532,70384,0.209834
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4640(iou_0.00).bmp,4406,813,94,52515,52353,0.308483
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4641(iou_0.00).bmp,4407,346,84,18299,18247,0.284169
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4642(iou_0.00).bmp,4408,260,51,8945,8882,0.704304
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4643(iou_0.00).bmp,4409,17,4,22,9,59.090908
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4644(iou_0.00).bmp,4410,68,20,2025,1992,1.629630
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4645(iou_0.00).bmp,4411,547,124,44355,44263,0.207417
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4646(iou_0.00).bmp,4412,1174,123,58798,58662,0.231300
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4647(iou_0.00).bmp,4413,672,72,56874,57110,32434405460934656.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4648(iou_0.00).bmp,4414,1759,134,77835,77756,0.101497
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4649(iou_0.00).bmp,4415,1825,168,93564,93706,19715643645362176.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4650(iou_0.00).bmp,4416,967,173,97375,96391,1.010526
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4651(iou_0.00).bmp,4417,2015,142,97285,96672,0.630107
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4652(iou_0.00).bmp,4418,1744,140,110403,109714,0.624077
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4653(iou_0.00).bmp,4419,1226,148,96423,94962,1.515199
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4654(iou_0.00).bmp,4420,196,26,23873,23806,0.280652
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4655(iou_0.00).bmp,4421,198,28,15993,15677,1.975864
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4656(iou_0.00).bmp,4422,919,95,54432,54235,0.361919
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4657(iou_0.00).bmp,4423,1457,298,72601,72434,0.230024
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4658(iou_0.00).bmp,4424,2515,214,107036,107376,17234148980686848.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4659(iou_0.00).bmp,4425,795,86,72814,72417,0.545225
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4660(iou_0.00).bmp,4426,552,52,29477,29409,0.230688
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4661(iou_0.00).bmp,4427,1390,142,55225,54976,0.450883
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4662(iou_0.00).bmp,4428,748,65,42612,42315,0.696987
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4663(iou_0.00).bmp,4429,850,162,100173,100600,18414887029964800.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4664(iou_0.00).bmp,4430,1837,434,148723,148699,0.016137
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4665(iou_0.00).bmp,4431,1171,84,48848,48692,0.319358
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4666(iou_0.00).bmp,4432,2858,487,98907,98485,0.426663
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4667(iou_0.00).bmp,4433,1235,239,73860,73808,0.070403
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4668(iou_0.00).bmp,4434,2063,168,112129,111441,0.613579
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4669(iou_0.00).bmp,4435,2416,112,94503,94236,0.282531
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4670(iou_0.00).bmp,4436,230,27,20690,20534,0.753987
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4671(iou_0.00).bmp,4437,1402,106,75982,75990,24277781529493504.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4672(iou_0.00).bmp,4438,920,118,93194,91476,1.843466
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4673(iou_0.00).bmp,4439,1007,145,100181,98624,1.554187
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4674(iou_0.00).bmp,4440,1753,425,101347,100812,0.527889
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4675(iou_0.00).bmp,4441,1162,93,51194,50447,1.459155
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4676(iou_0.00).bmp,4442,1916,266,97622,97363,0.265309
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4677(iou_0.00).bmp,4443,154,23,24477,23999,1.952854
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4678(iou_0.00).bmp,4444,568,77,33408,33080,0.981801
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4679(iou_0.00).bmp,4445,914,76,64309,65105,28684544676724736.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4680(iou_0.00).bmp,4446,1586,152,98448,96650,1.826345
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4681(iou_0.00).bmp,4447,1844,397,115315,114791,0.454407
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4682(iou_0.00).bmp,4448,289,29,13937,14122,132358067290374144.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4683(iou_0.00).bmp,4449,734,128,32161,32016,0.450857
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4684(iou_0.00).bmp,4450,1908,201,103483,102730,0.727656
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4685(iou_0.00).bmp,4451,1416,318,82949,82516,0.522008
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4686(iou_0.00).bmp,4452,2162,191,100121,100028,0.092888
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4687(iou_0.00).bmp,4453,957,182,67321,67415,27401174088941568.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4689(iou_0.00).bmp,4454,2143,150,96861,96234,0.647319
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4690(iou_0.00).bmp,4455,1851,418,152475,152231,0.160026
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4691(iou_0.00).bmp,4456,937,73,61399,60819,0.944641
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4692(iou_0.00).bmp,4457,173,20,13262,12772,3.694767
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4693(iou_0.00).bmp,4458,44,8,3663,3650,0.354900
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4694(iou_0.00).bmp,4459,638,85,65224,64177,1.605237
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4695(iou_0.00).bmp,4460,975,77,58877,59393,31330985412919296.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4696(iou_0.00).bmp,4461,974,57,49059,48829,0.468823
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4697(iou_0.00).bmp,4462,100,12,15436,15320,0.751490
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4698(iou_0.00).bmp,4463,438,65,33293,32755,1.615955
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4699(iou_0.00).bmp,4464,799,115,81260,80890,0.455329
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4700(iou_0.00).bmp,4465,626,63,31389,31736,58768179245088768.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4701(iou_0.00).bmp,4466,741,83,62037,61995,0.067702
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4702(iou_0.00).bmp,4467,180,27,32397,32166,0.713029
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4703(iou_0.00).bmp,4468,2293,181,97047,96923,0.127773
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4704(iou_0.00).bmp,4469,1349,297,68376,67947,0.627413
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4705(iou_0.00).bmp,4470,818,102,54796,54384,0.751880
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4706(iou_0.00).bmp,4471,230,47,34285,34425,53804124763848704.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4708(iou_0.00).bmp,4472,8,3,8,8,0.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4710(iou_0.00).bmp,4473,569,102,59429,59206,0.375238
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4711(iou_0.00).bmp,4474,1201,112,58865,58745,0.203856
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4712(iou_0.00).bmp,4475,681,76,56761,56663,0.172654
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4713(iou_0.00).bmp,4476,1750,122,76496,76439,0.074514
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4714(iou_0.00).bmp,4477,1752,151,91094,91215,20250229634760704.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4715(iou_0.00).bmp,4478,810,149,94995,94480,0.542134
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4716(iou_0.00).bmp,4479,2031,126,96049,94984,1.108809
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4717(iou_0.00).bmp,4480,1746,140,110739,110250,0.441579
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4718(iou_0.00).bmp,4481,1239,130,98219,96051,2.207312
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4719(iou_0.00).bmp,4482,216,22,24926,24884,0.168499
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4720(iou_0.00).bmp,4483,232,30,16210,16085,0.771129
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4721(iou_0.00).bmp,4484,1005,99,56116,56319,32872522189897728.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4722(iou_0.00).bmp,4485,1328,282,71949,72044,25638637622263808.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4723(iou_0.00).bmp,4486,2531,192,105612,105876,17466522817527808.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4724(iou_0.00).bmp,4487,814,97,73700,73890,25029503885508608.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4725(iou_0.00).bmp,4488,566,56,28930,28727,0.701694
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4726(iou_0.00).bmp,4489,1537,147,57316,57256,0.104683
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4727(iou_0.00).bmp,4490,742,58,42792,42617,0.408955
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4728(iou_0.00).bmp,4491,863,168,99650,99869,18511534531543040.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4729(iou_0.00).bmp,4492,1777,439,158483,158320,0.102850
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4730(iou_0.00).bmp,4493,1185,85,48890,48502,0.793618
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4731(iou_0.00).bmp,4494,2188,329,111726,111438,0.257773
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4732(iou_0.00).bmp,4495,1007,206,65546,65400,0.222744
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4733(iou_0.00).bmp,4496,2014,171,110130,109268,0.782711
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4734(iou_0.00).bmp,4497,2406,121,95611,94857,0.788612
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4735(iou_0.00).bmp,4498,220,28,21304,21281,0.107961
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4736(iou_0.00).bmp,4499,1395,102,73714,73858,25024749356711936.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4737(iou_0.00).bmp,4500,895,106,93118,91408,1.836380
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4738(iou_0.00).bmp,4501,1019,153,98880,97242,1.656553
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4739(iou_0.00).bmp,4502,2506,621,92277,91823,0.491997
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4740(iou_0.00).bmp,4503,1084,108,50885,50603,0.554191
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4741(iou_0.00).bmp,4504,2207,359,97103,96748,0.365591
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4742(iou_0.00).bmp,4505,320,72,20376,20241,0.662544
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4743(iou_0.00).bmp,4506,713,116,30814,30267,1.775167
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4744(iou_0.00).bmp,4507,879,75,64192,64755,28736827313618944.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4745(iou_0.00).bmp,4508,1583,143,97878,95929,1.991254
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4746(iou_0.00).bmp,4509,2149,467,101321,100417,0.892214
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4747(iou_0.00).bmp,4510,310,41,13812,13926,133555925079293952.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4748(iou_0.00).bmp,4511,948,179,33415,33449,55204979887046656.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4749(iou_0.00).bmp,4512,1822,173,100302,99465,0.834480
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4750(iou_0.00).bmp,4513,1482,334,76175,76137,0.049885
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4751(iou_0.00).bmp,4514,2070,184,98456,98601,18736028177137664.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4752(iou_0.00).bmp,4515,1628,332,72959,72728,0.316616
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4754(iou_0.00).bmp,4516,2200,156,95624,95221,0.421442
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4755(iou_0.00).bmp,4517,1990,466,149511,149086,0.284260
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4756(iou_0.00).bmp,4518,938,82,60245,59951,0.488007
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4757(iou_0.00).bmp,4519,181,20,13129,12714,3.160941
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4758(iou_0.00).bmp,4520,40,8,3765,3757,0.212483
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4759(iou_0.00).bmp,4521,641,80,65526,64693,1.271251
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4760(iou_0.00).bmp,4522,990,72,58359,58465,31609082397851648.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4761(iou_0.00).bmp,4523,980,64,48485,48371,0.235124
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4762(iou_0.00).bmp,4524,100,14,15508,15413,0.612587
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4763(iou_0.00).bmp,4525,441,54,33359,32731,1.882550
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4764(iou_0.00).bmp,4526,659,80,82187,82209,22444844106383360.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4765(iou_0.00).bmp,4527,613,65,31107,31180,59300944168353792.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_4766(iou_0.00).bmp,4528,809,99,61528,61398,0.211286
