file,index,before_pt,after_pt,before_area,after_area
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0137(iou_0.00).bmp,135,887,109,93066,91548,1.631101
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0138(iou_0.00).bmp,136,997,156,100182,98514,1.664970
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0139(iou_0.00).bmp,137,2003,475,131866,131328,0.407990
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0140(iou_0.00).bmp,138,1190,102,51885,51135,1.445504
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0141(iou_0.00).bmp,139,2150,288,92494,91934,0.605445
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0142(iou_0.00).bmp,140,233,56,7461,7456,0.067015
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0143(iou_0.00).bmp,141,563,68,34726,34240,1.399528
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0144(iou_0.00).bmp,142,856,74,63873,64762,28880347940782080.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0145(iou_0.00).bmp,143,1569,136,98617,97084,1.554499
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0146(iou_0.00).bmp,144,1510,277,103430,102889,0.523059
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0147(iou_0.00).bmp,145,314,33,14656,14717,125864789703393280.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0148(iou_0.00).bmp,146,560,91,19709,19597,0.568268
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0149(iou_0.00).bmp,147,1900,177,103341,102720,0.600923
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0150(iou_0.00).bmp,148,1617,331,77264,77119,0.187668
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0151(iou_0.00).bmp,149,2129,162,99677,99798,18506520157224960.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0152(iou_0.00).bmp,150,1332,260,66160,65831,0.497279
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0153(iou_0.00).bmp,151,14,6,42,38,9.523809
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0154(iou_0.00).bmp,152,2161,164,96155,96058,0.100879
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0155(iou_0.00).bmp,153,1746,423,104470,103996,0.453719
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0156(iou_0.00).bmp,154,915,86,60901,60781,0.197041
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0157(iou_0.00).bmp,155,178,21,13110,12797,2.387491
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0158(iou_0.00).bmp,156,31,6,3217,3170,1.460989
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0159(iou_0.00).bmp,157,675,86,67562,66729,1.232942
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0160(iou_0.00).bmp,158,1016,77,61152,61477,30165397860777984.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0161(iou_0.00).bmp,159,984,61,51594,51602,35753661413982208.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0162(iou_0.00).bmp,160,107,12,16636,16511,0.751383
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0163(iou_0.00).bmp,161,426,60,30161,29643,1.717450
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0164(iou_0.00).bmp,162,754,104,82473,81532,1.140980
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0165(iou_0.00).bmp,163,604,64,28868,29048,63900317271457792.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0166(iou_0.00).bmp,164,706,81,63494,63588,29052735043141632.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0167(iou_0.00).bmp,165,201,35,33207,33073,0.403529
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0168(iou_0.00).bmp,166,2311,165,98963,99121,18640042100523008.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0169(iou_0.00).bmp,167,1266,243,54534,54239,0.540947
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0170(iou_0.00).bmp,168,917,120,50068,49699,0.736998
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0171(iou_0.00).bmp,169,341,70,17501,17511,105403943462371328.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0172(iou_0.00).bmp,170,98,25,2212,2171,1.853526
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0173(iou_0.00).bmp,171,254,68,6811,6762,0.719424
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0174(iou_0.00).bmp,172,93,18,2211,2162,2.216192
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0175(iou_0.00).bmp,173,315,53,49417,49124,0.592913
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0176(iou_0.00).bmp,174,1261,119,60317,60196,0.200607
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0177(iou_0.00).bmp,175,651,66,58597,58137,0.785023
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0178(iou_0.00).bmp,176,1746,120,79091,79155,23323441943805952.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0179(iou_0.00).bmp,177,1760,162,93539,94052,19720911422750720.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0180(iou_0.00).bmp,178,924,159,96582,95670,0.944275
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0181(iou_0.00).bmp,179,2043,141,95784,95198,0.611793
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0182(iou_0.00).bmp,180,1819,130,110423,110517,16705526553378816.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0183(iou_0.00).bmp,181,1324,158,97707,96561,1.172894
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0184(iou_0.00).bmp,182,178,24,23433,23292,0.601716
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0185(iou_0.00).bmp,183,206,34,15154,14846,2.032467
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0186(iou_0.00).bmp,184,870,101,53923,54098,34209416660123648.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0187(iou_0.00).bmp,185,1574,339,69652,69493,0.228278
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0188(iou_0.00).bmp,186,2424,168,111129,111840,16599396837752832.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0189(iou_0.00).bmp,187,800,84,73434,72275,1.578288
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0190(iou_0.00).bmp,188,585,55,30375,30242,0.437860
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0191(iou_0.00).bmp,189,1354,120,56300,55967,0.591474
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0192(iou_0.00).bmp,190,723,57,42140,41889,0.595634
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0193(iou_0.00).bmp,191,815,166,100095,100716,18429236515700736.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0194(iou_0.00).bmp,192,1381,313,143284,143221,0.043969
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0195(iou_0.00).bmp,193,1196,83,49878,49756,0.244597
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0196(iou_0.00).bmp,194,2194,360,79506,79429,0.096848
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0197(iou_0.00).bmp,195,1371,272,65327,65232,0.145422
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0198(iou_0.00).bmp,196,2198,219,116229,115938,0.250368
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0199(iou_0.00).bmp,197,2382,123,94985,94270,0.752750
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0200(iou_0.00).bmp,198,211,25,20540,20062,2.327167
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0201(iou_0.00).bmp,199,1405,101,74619,75055,24721243345256448.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0202(iou_0.00).bmp,200,881,119,95718,94369,1.409348
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0203(iou_0.00).bmp,201,1059,158,101670,99965,1.676994
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0204(iou_0.00).bmp,202,2488,607,81652,80953,0.856072
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0205(iou_0.00).bmp,203,1177,101,52342,51819,0.999198
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0206(iou_0.00).bmp,204,2476,364,88554,87678,0.989227
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0207(iou_0.00).bmp,205,397,94,15937,15844,0.583548
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0208(iou_0.00).bmp,206,539,59,34249,33781,1.366463
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0209(iou_0.00).bmp,207,867,82,65295,66063,28251388634988544.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0210(iou_0.00).bmp,208,1714,167,101354,99797,1.536200
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0211(iou_0.00).bmp,209,2403,543,92798,92008,0.851311
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0212(iou_0.00).bmp,210,307,34,14650,14709,125916337900879872.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0213(iou_0.00).bmp,211,706,135,25579,25517,0.242386
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0214(iou_0.00).bmp,212,1938,186,103841,103090,0.723221
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0215(iou_0.00).bmp,213,1288,269,60555,60173,0.630831
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0216(iou_0.00).bmp,214,2225,191,104163,104325,17709497707397120.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0217(iou_0.00).bmp,215,1696,358,44538,44295,0.545601
