file,index,original_capa,reduced_capa,증감율,,,평균 용량(byte),,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0072(iou_0.00).bmp,70,7208,856,0.881243063,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0073(iou_0.00).bmp,71,8592,1304,0.848230912,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0074(iou_0.00).bmp,72,18936,4848,0.743979721,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0075(iou_0.00).bmp,73,9248,808,0.912629758,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0076(iou_0.00).bmp,74,15952,2472,0.845035105,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0077(iou_0.00).bmp,75,2152,560,0.739776952,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0078(iou_0.00).bmp,76,4288,496,0.884328358,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0079(iou_0.00).bmp,77,7000,584,0.916571429,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0080(iou_0.00).bmp,78,12960,1160,0.910493827,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0081(iou_0.00).bmp,79,21152,4728,0.776475038,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0082(iou_0.00).bmp,80,2496,256,0.897435897,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0083(iou_0.00).bmp,81,8000,1632,0.796,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0084(iou_0.00).bmp,82,15128,1400,0.907456372,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0085(iou_0.00).bmp,83,8976,2248,0.749554367,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0086(iou_0.00).bmp,84,17392,1424,0.918123275,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0087(iou_0.00).bmp,85,9936,1728,0.826086957,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0088(iou_0.00).bmp,86,168,40,0.761904762,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0089(iou_0.00).bmp,87,17216,1280,0.925650558,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0090(iou_0.00).bmp,88,17128,3712,0.783278842,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0091(iou_0.00).bmp,89,7240,608,0.916022099,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0092(iou_0.00).bmp,90,1488,168,0.887096774,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0093(iou_0.00).bmp,91,288,32,0.888888889,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0094(iou_0.00).bmp,92,5472,688,0.874269006,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0095(iou_0.00).bmp,93,8320,688,0.917307692,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0096(iou_0.00).bmp,94,8040,472,0.941293532,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0097(iou_0.00).bmp,95,760,104,0.863157895,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0098(iou_0.00).bmp,96,3336,504,0.848920863,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0099(iou_0.00).bmp,97,5904,840,0.857723577,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0100(iou_0.00).bmp,98,4448,456,0.897482014,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0101(iou_0.00).bmp,99,6136,864,0.859191656,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0102(iou_0.00).bmp,100,1848,344,0.813852814,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0103(iou_0.00).bmp,101,19096,1280,0.932970256,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0104(iou_0.00).bmp,102,13624,2920,0.785672343,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0105(iou_0.00).bmp,103,7968,1024,0.871485944,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0106(iou_0.00).bmp,104,3336,760,0.772182254,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0107(iou_0.00).bmp,105,5096,1176,0.769230769,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0108(iou_0.00).bmp,106,1264,352,0.721518987,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0109(iou_0.00).bmp,107,608,160,0.736842105,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0110(iou_0.00).bmp,108,4168,808,0.806142035,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0111(iou_0.00).bmp,109,10008,872,0.912869704,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0112(iou_0.00).bmp,110,5552,648,0.883285303,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0113(iou_0.00).bmp,111,14664,1192,0.918712493,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0114(iou_0.00).bmp,112,14624,1296,0.911378556,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0115(iou_0.00).bmp,113,7896,1296,0.835866261,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0116(iou_0.00).bmp,114,16368,1160,0.92913001,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0117(iou_0.00).bmp,115,15000,1336,0.910933333,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0118(iou_0.00).bmp,116,10176,1200,0.882075472,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0119(iou_0.00).bmp,117,1648,192,0.883495146,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0120(iou_0.00).bmp,118,1656,216,0.869565217,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0121(iou_0.00).bmp,119,7128,696,0.902356902,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0122(iou_0.00).bmp,120,11264,2248,0.800426136,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0123(iou_0.00).bmp,121,18752,1432,0.923634812,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0124(iou_0.00).bmp,122,6368,712,0.888190955,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0125(iou_0.00).bmp,123,4832,504,0.895695364,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0126(iou_0.00).bmp,124,11472,1112,0.90306834,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0127(iou_0.00).bmp,125,5808,496,0.914600551,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0128(iou_0.00).bmp,126,6736,1376,0.795724466,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0129(iou_0.00).bmp,127,15960,4040,0.746867168,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0130(iou_0.00).bmp,128,9328,680,0.927101201,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0131(iou_0.00).bmp,129,18368,2736,0.851045296,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0132(iou_0.00).bmp,130,9456,1680,0.822335025,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0133(iou_0.00).bmp,131,17848,1840,0.896907216,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0134(iou_0.00).bmp,132,19232,1016,0.947171381,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0135(iou_0.00).bmp,133,1688,176,0.895734597,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0136(iou_0.00).bmp,134,11296,792,0.929886686,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0137(iou_0.00).bmp,135,7096,872,0.877113867,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0138(iou_0.00).bmp,136,7976,1248,0.843530592,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0139(iou_0.00).bmp,137,16024,3800,0.762855716,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0140(iou_0.00).bmp,138,9520,816,0.914285714,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0141(iou_0.00).bmp,139,17200,2304,0.866046512,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0142(iou_0.00).bmp,140,1864,448,0.759656652,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0143(iou_0.00).bmp,141,4504,544,0.879218472,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0144(iou_0.00).bmp,142,6848,592,0.913551402,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0145(iou_0.00).bmp,143,12552,1088,0.913320586,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0146(iou_0.00).bmp,144,12080,2216,0.816556291,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0147(iou_0.00).bmp,145,2512,264,0.894904459,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0148(iou_0.00).bmp,146,4480,728,0.8375,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0149(iou_0.00).bmp,147,15200,1416,0.906842105,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0150(iou_0.00).bmp,148,12936,2648,0.795299938,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0151(iou_0.00).bmp,149,17032,1296,0.923907938,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0152(iou_0.00).bmp,150,10656,2080,0.804804805,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0153(iou_0.00).bmp,151,112,48,0.571428571,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0154(iou_0.00).bmp,152,17288,1312,0.924109209,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0155(iou_0.00).bmp,153,13968,3384,0.757731959,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0156(iou_0.00).bmp,154,7320,688,0.906010929,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0157(iou_0.00).bmp,155,1424,168,0.882022472,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0158(iou_0.00).bmp,156,248,48,0.806451613,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0159(iou_0.00).bmp,157,5400,688,0.872592593,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0160(iou_0.00).bmp,158,8128,616,0.924212598,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0161(iou_0.00).bmp,159,7872,488,0.93800813,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0162(iou_0.00).bmp,160,856,96,0.887850467,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0163(iou_0.00).bmp,161,3408,480,0.85915493,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0164(iou_0.00).bmp,162,6032,832,0.862068966,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0165(iou_0.00).bmp,163,4832,512,0.894039735,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0166(iou_0.00).bmp,164,5648,648,0.885269122,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0167(iou_0.00).bmp,165,1608,280,0.825870647,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0168(iou_0.00).bmp,166,18488,1320,0.928602337,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0169(iou_0.00).bmp,167,10128,1944,0.808056872,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0170(iou_0.00).bmp,168,7336,960,0.869138495,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0171(iou_0.00).bmp,169,2728,560,0.794721408,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0172(iou_0.00).bmp,170,784,200,0.744897959,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0173(iou_0.00).bmp,171,2032,544,0.732283465,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0174(iou_0.00).bmp,172,744,144,0.806451613,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0175(iou_0.00).bmp,173,2520,424,0.831746032,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0176(iou_0.00).bmp,174,10088,952,0.905630452,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0177(iou_0.00).bmp,175,5208,528,0.898617512,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0178(iou_0.00).bmp,176,13968,960,0.931271478,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0179(iou_0.00).bmp,177,14080,1296,0.907954545,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0180(iou_0.00).bmp,178,7392,1272,0.827922078,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0181(iou_0.00).bmp,179,16344,1128,0.930983847,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0182(iou_0.00).bmp,180,14552,1040,0.928532161,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0183(iou_0.00).bmp,181,10592,1264,0.880664653,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0184(iou_0.00).bmp,182,1424,192,0.865168539,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0185(iou_0.00).bmp,183,1648,272,0.834951456,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0186(iou_0.00).bmp,184,6960,808,0.883908046,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0187(iou_0.00).bmp,185,12592,2712,0.784625159,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0188(iou_0.00).bmp,186,19392,1344,0.930693069,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0189(iou_0.00).bmp,187,6400,672,0.895,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0190(iou_0.00).bmp,188,4680,440,0.905982906,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0191(iou_0.00).bmp,189,10832,960,0.911373708,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0192(iou_0.00).bmp,190,5784,456,0.921161826,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0193(iou_0.00).bmp,191,6520,1328,0.796319018,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0194(iou_0.00).bmp,192,11048,2504,0.773352643,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0195(iou_0.00).bmp,193,9568,664,0.930602007,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0196(iou_0.00).bmp,194,17552,2880,0.835916135,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0197(iou_0.00).bmp,195,10968,2176,0.801604668,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0198(iou_0.00).bmp,196,17584,1752,0.900363967,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0199(iou_0.00).bmp,197,19056,984,0.94836272,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0200(iou_0.00).bmp,198,1688,200,0.881516588,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0201(iou_0.00).bmp,199,11240,808,0.928113879,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0202(iou_0.00).bmp,200,7048,952,0.86492622,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0203(iou_0.00).bmp,201,8472,1264,0.850802644,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0204(iou_0.00).bmp,202,19904,4856,0.756028939,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0205(iou_0.00).bmp,203,9416,808,0.914188615,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0206(iou_0.00).bmp,204,19808,2912,0.852988691,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0207(iou_0.00).bmp,205,3176,752,0.763224181,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0208(iou_0.00).bmp,206,4312,472,0.890538033,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0209(iou_0.00).bmp,207,6936,656,0.905420992,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0210(iou_0.00).bmp,208,13712,1336,0.902567095,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0211(iou_0.00).bmp,209,19224,4344,0.774032459,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0212(iou_0.00).bmp,210,2456,272,0.889250814,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0213(iou_0.00).bmp,211,5648,1080,0.80878187,,,,,,
