index,before_pt,after_pt,before_area,after_area
33,120,26,8685,8619,0.759931
34,192,84,18226,18112,0.625480
34,5,4,0,0,0.000000
34,10,6,0,0,0.000000
35,6,3,1,1,0.000000
35,2,2,3,3,0.000000
35,1,1,20,12,40.000000
36,7,5,75,71,5.333333
36,3,3,832,809,2.764423
36,1,1,343,343,0.000000
36,2,2,3,1,66.666664
36,31,14,1,10,900.000000
36,17,11,10,47,370.000000
36,6,5,51,0,100.000000
37,9,6,1356,1236,8.849558
37,31,12,64,54,15.625000
38,53,22,48830,48622,0.425968
38,1,1,202,189,6.435644
38,2,2,1,1,0.000000
38,1,1,3,3,0.000000
38,15,9,1161,1097,5.512489
38,163,49,0,1,0.000000
38,2,2,0,0,0.000000
39,2,2,8816,8680,1.542650
39,112,30,18862,18624,1.261796
39,173,40,19526,19482,0.225341
39,177,40,12302,12332,0.243863
39,77,16,5,5,0.000000
40,4,2,7992,7993,0.012513
40,30,13,18015,17874,0.782681
40,78,29,19335,19259,0.393070
40,103,27,12657,12623,0.268626
40,115,27,1350,1316,2.518518
40,66,12,16,4,75.000000
41,2,2,20166,20234,0.337201
41,3,2,18698,18650,0.256712
41,5,2,16993,16854,0.817984
41,2,2,17827,17648,1.004095
41,41,12,4,4,0.000000
41,2,2,4821,4767,1.120100
41,157,36,4,4,0.000000
41,149,39,27,9,66.666664
41,173,35,27,4,85.185188
41,177,38,6,6,0.000000
42,9,3,98,83,15.306123
42,177,31,17063,16981,0.480572
42,115,28,16858,16746,0.664373
42,127,33,16418,16223,1.187721
42,141,30,16576,16479,0.585183
42,171,38,11913,11844,0.579199
42,159,33,17419,17300,0.683162
42,9,5,132,127,3.787879
43,82,28,15808,15950,0.898279
43,82,30,16179,16130,0.302862
43,107,29,415,402,3.132530
43,74,27,15762,15572,1.205431
43,18,6,16499,16462,0.224256
43,119,25,16397,16444,0.286638
43,83,28,16093,15955,0.857516
44,155,31,14146,14007,0.982610
44,174,32,1027,1039,1.168452
44,118,35,16917,16702,1.270911
44,174,29,15508,15556,0.309518
44,165,33,16986,16743,1.430590
44,16,9,16904,16734,1.005679
44,130,31,16430,16296,0.815581
45,2,2,36522,36297,0.616067
