file,index,before_pt,after_pt,before_area,after_area
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3030(iou_0.00).bmp,2903,61,17,17146,16977,0.985653
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3031(iou_0.00).bmp,2904,234,71,29956,29784,0.574175
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3032(iou_0.00).bmp,2905,428,132,81950,81396,0.676022
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3033(iou_0.00).bmp,2906,269,76,28812,28633,0.621269
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3034(iou_0.00).bmp,2907,323,89,62053,61943,0.177268
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3035(iou_0.00).bmp,2908,103,33,34213,34007,0.602110
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3036(iou_0.00).bmp,2909,890,194,97161,96516,0.663847
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3037(iou_0.00).bmp,2910,825,380,50932,50672,0.510485
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3038(iou_0.00).bmp,2911,380,95,53517,53105,0.769849
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3039(iou_0.00).bmp,2912,147,70,34042,33740,0.887139
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3041(iou_0.00).bmp,2913,7,4,37,24,35.135136
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3043(iou_0.00).bmp,2914,530,257,54022,53695,0.605309
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3044(iou_0.00).bmp,2915,525,124,61833,61172,1.069008
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3045(iou_0.00).bmp,2916,381,104,59635,59250,0.645594
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3046(iou_0.00).bmp,2917,698,141,80088,79805,0.353361
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3047(iou_0.00).bmp,2918,868,179,96253,95778,0.493491
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3048(iou_0.00).bmp,2919,524,173,99735,99061,0.675791
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3049(iou_0.00).bmp,2920,914,179,100366,99543,0.819999
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3050(iou_0.00).bmp,2921,700,157,115354,114759,0.515804
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3051(iou_0.00).bmp,2922,668,172,100406,100049,0.355556
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3052(iou_0.00).bmp,2923,108,29,24553,24395,0.643506
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3053(iou_0.00).bmp,2924,94,30,15469,15503,119249749793570816.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3054(iou_0.00).bmp,2925,396,111,53752,53462,0.539515
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3055(iou_0.00).bmp,2926,707,306,68345,67891,0.664277
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3056(iou_0.00).bmp,2927,928,242,109199,108509,0.631874
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3057(iou_0.00).bmp,2928,431,121,73606,73214,0.532565
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3058(iou_0.00).bmp,2929,262,51,30499,30256,0.796747
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3059(iou_0.00).bmp,2930,523,118,56711,55964,1.317205
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3060(iou_0.00).bmp,2931,333,75,42699,42535,0.384084
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3061(iou_0.00).bmp,2932,460,171,99537,98964,0.575665
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3062(iou_0.00).bmp,2933,1029,512,145524,145390,0.092081
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3063(iou_0.00).bmp,2934,395,94,51428,51366,0.120557
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3064(iou_0.00).bmp,2935,994,391,104268,103921,0.332796
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3065(iou_0.00).bmp,2936,663,286,63302,62836,0.736154
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3066(iou_0.00).bmp,2937,1043,217,111746,111083,0.593310
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3067(iou_0.00).bmp,2938,862,176,97539,97071,0.479808
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3068(iou_0.00).bmp,2939,109,31,21004,20971,0.157113
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3069(iou_0.00).bmp,2940,632,135,76865,76619,0.320042
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3070(iou_0.00).bmp,2941,525,152,97909,97658,0.256361
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3071(iou_0.00).bmp,2942,619,178,101496,100978,0.510365
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3072(iou_0.00).bmp,2943,992,471,126586,126274,0.246473
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3073(iou_0.00).bmp,2944,541,111,53758,53227,0.987760
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3074(iou_0.00).bmp,2945,886,290,91408,91265,0.156441
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3075(iou_0.00).bmp,2946,227,122,11814,11638,1.489758
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3076(iou_0.00).bmp,2947,319,90,33758,33520,0.705018
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3077(iou_0.00).bmp,2948,474,111,65986,65469,0.783500
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3078(iou_0.00).bmp,2949,893,197,99712,98882,0.832397
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3079(iou_0.00).bmp,2950,1168,530,105641,104568,1.015704
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3080(iou_0.00).bmp,2951,171,41,15305,15116,1.234891
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3081(iou_0.00).bmp,2952,316,109,32848,32669,0.544934
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3082(iou_0.00).bmp,2953,928,196,103392,102943,0.434270
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3083(iou_0.00).bmp,2954,622,286,80656,80280,0.466177
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3084(iou_0.00).bmp,2955,926,201,101638,101030,0.598201
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3085(iou_0.00).bmp,2956,899,385,58483,58009,0.810492
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3090(iou_0.00).bmp,2957,411,99,62088,62234,29710642428510208.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3091(iou_0.00).bmp,2958,99,26,14112,14148,130716719768403968.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3092(iou_0.00).bmp,2959,23,8,3752,3783,491650953687072768.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3093(iou_0.00).bmp,2960,410,112,70879,70886,26025682895110144.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3094(iou_0.00).bmp,2961,523,123,65855,65704,0.229292
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3095(iou_0.00).bmp,2962,406,90,53938,53656,0.522822
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3096(iou_0.00).bmp,2963,56,18,17365,17343,0.126692
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3097(iou_0.00).bmp,2964,219,73,30301,30085,0.712848
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3098(iou_0.00).bmp,2965,402,126,83366,82727,0.766500
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3099(iou_0.00).bmp,2966,254,75,28567,28544,0.080512
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3100(iou_0.00).bmp,2967,323,82,58060,57731,0.566655
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3101(iou_0.00).bmp,2968,105,34,33359,33219,0.419677
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3102(iou_0.00).bmp,2969,885,196,97940,97514,0.434960
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3103(iou_0.00).bmp,2970,612,291,58782,58495,0.488245
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3104(iou_0.00).bmp,2971,443,124,52632,52258,0.710594
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3105(iou_0.00).bmp,2972,216,97,29014,28915,0.341215
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3106(iou_0.00).bmp,2973,118,45,9079,9054,0.275361
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3107(iou_0.00).bmp,2974,85,45,2251,2185,2.932030
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3108(iou_0.00).bmp,2975,136,69,6052,6024,0.462657
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3109(iou_0.00).bmp,2976,322,149,41639,41487,0.365042
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3110(iou_0.00).bmp,2977,531,129,60119,59877,0.402535
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3111(iou_0.00).bmp,2978,379,97,58863,58363,0.849430
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3112(iou_0.00).bmp,2979,692,174,81155,80829,0.401700
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3113(iou_0.00).bmp,2980,923,230,98828,98161,0.674910
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3114(iou_0.00).bmp,2981,610,208,103752,103055,0.671794
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3115(iou_0.00).bmp,2982,926,189,101474,101211,0.259180
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3116(iou_0.00).bmp,2983,765,181,116535,115908,0.538036
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3117(iou_0.00).bmp,2984,713,180,99404,99193,0.212265
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3118(iou_0.00).bmp,2985,107,30,23874,23877,77267088720265216.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3119(iou_0.00).bmp,2986,85,26,14651,14536,0.784929
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3120(iou_0.00).bmp,2987,397,115,52263,51892,0.709871
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3121(iou_0.00).bmp,2988,819,378,60380,59988,0.649222
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3122(iou_0.00).bmp,2989,960,243,110032,109491,0.491675
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3123(iou_0.00).bmp,2990,432,107,72866,72351,0.706777
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3124(iou_0.00).bmp,2991,269,61,31157,31033,0.397984
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3125(iou_0.00).bmp,2992,556,131,55936,55092,1.508867
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3126(iou_0.00).bmp,2993,320,72,43050,42982,0.157956
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3127(iou_0.00).bmp,2994,482,174,100304,99595,0.706851
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3128(iou_0.00).bmp,2995,985,455,149393,148808,0.391585
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3129(iou_0.00).bmp,2996,453,97,50909,50316,1.164824
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3130(iou_0.00).bmp,2997,1017,415,102329,102184,0.141700
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3131(iou_0.00).bmp,2998,693,292,65412,65217,0.298110
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3132(iou_0.00).bmp,2999,1081,209,112487,111905,0.517393
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3133(iou_0.00).bmp,3000,880,176,100375,100082,0.291905
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3134(iou_0.00).bmp,3001,126,28,21079,20970,0.517102
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3135(iou_0.00).bmp,3002,245,124,6585,6388,2.991648
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3136(iou_0.00).bmp,3003,507,151,97349,96977,0.382130
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3137(iou_0.00).bmp,3004,587,173,103084,102730,0.343409
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3138(iou_0.00).bmp,3005,1627,836,108012,107108,0.836944
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3139(iou_0.00).bmp,3006,515,119,53405,52935,0.880067
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3140(iou_0.00).bmp,3007,901,293,107508,107188,0.297652
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3141(iou_0.00).bmp,3008,168,51,5907,5750,2.657864
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3142(iou_0.00).bmp,3009,90,52,1090,1009,7.431193
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3143(iou_0.00).bmp,3010,480,101,65668,65117,0.839069
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3144(iou_0.00).bmp,3011,878,191,101097,100949,0.146394
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3145(iou_0.00).bmp,3012,1408,657,79212,78544,0.843307
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3146(iou_0.00).bmp,3013,163,41,15087,14953,0.888182
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3147(iou_0.00).bmp,3014,296,95,36565,36516,0.134008
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3148(iou_0.00).bmp,3015,953,209,104340,103686,0.626797
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3149(iou_0.00).bmp,3016,588,234,79446,79144,0.380132
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3150(iou_0.00).bmp,3017,947,189,102680,102308,0.362291
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3151(iou_0.00).bmp,3018,659,266,69471,68924,0.787379
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3156(iou_0.00).bmp,3019,108,67,1533,1437,6.262231
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3157(iou_0.00).bmp,3020,104,28,14294,14073,1.546103
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3158(iou_0.00).bmp,3021,20,7,3949,3982,467124422684180480.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3159(iou_0.00).bmp,3022,392,116,70542,70483,0.083638
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3160(iou_0.00).bmp,3023,511,125,65134,64655,0.735407
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3161(iou_0.00).bmp,3024,403,89,53513,53397,0.216770
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3162(iou_0.00).bmp,3025,52,16,16932,16882,0.295299
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3163(iou_0.00).bmp,3026,217,65,30543,30347,0.641718
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3164(iou_0.00).bmp,3027,24,15,316,313,0.949367
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3165(iou_0.00).bmp,3028,268,83,28906,28885,0.072649
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3166(iou_0.00).bmp,3029,313,83,58720,58609,0.189033
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3167(iou_0.00).bmp,3030,117,36,32474,32506,56804657636311040.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3168(iou_0.00).bmp,3031,878,185,98915,98256,0.666229
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3169(iou_0.00).bmp,3032,657,290,45813,45439,0.816362
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3170(iou_0.00).bmp,3033,394,92,54290,53811,0.882299
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3171(iou_0.00).bmp,3034,259,131,15268,15087,1.185486
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3172(iou_0.00).bmp,3035,58,31,747,697,6.693440
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3173(iou_0.00).bmp,3036,90,49,1414,1341,5.162659
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3174(iou_0.00).bmp,3037,71,35,2279,2117,7.108381
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3175(iou_0.00).bmp,3038,354,153,41096,40918,0.433132
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3176(iou_0.00).bmp,3039,529,134,60284,60101,0.303563
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3177(iou_0.00).bmp,3040,371,99,59532,59194,0.567762
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3178(iou_0.00).bmp,3041,662,140,81272,81486,22697538507243520.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3179(iou_0.00).bmp,3042,883,187,98130,97814,0.322022
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3180(iou_0.00).bmp,3043,538,167,99879,99864,0.015018
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3181(iou_0.00).bmp,3044,932,178,100936,100334,0.596418
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3182(iou_0.00).bmp,3045,721,171,115703,115248,0.393248
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3183(iou_0.00).bmp,3046,699,193,98257,98107,0.152661
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3184(iou_0.00).bmp,3047,111,31,24098,24063,0.145240
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3185(iou_0.00).bmp,3048,111,28,14846,14853,124253970808963072.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3186(iou_0.00).bmp,3049,378,103,53442,52986,0.853261
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3187(iou_0.00).bmp,3050,477,185,20141,19815,1.618589
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3188(iou_0.00).bmp,3051,210,96,5696,5342,6.214888
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3189(iou_0.00).bmp,3052,409,111,73653,73318,0.454836
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3190(iou_0.00).bmp,3053,262,55,30237,29894,1.134372
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3191(iou_0.00).bmp,3054,543,158,57790,57710,0.138432
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3192(iou_0.00).bmp,3055,332,70,43106,43194,42793911676043264.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3193(iou_0.00).bmp,3056,471,166,102180,101458,0.706596
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3194(iou_0.00).bmp,3057,915,467,145823,145363,0.315451
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3195(iou_0.00).bmp,3058,440,97,50915,50817,0.192478
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3196(iou_0.00).bmp,3059,1048,394,92129,91315,0.883544
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3197(iou_0.00).bmp,3060,479,139,14115,13468,4.583776
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3198(iou_0.00).bmp,3061,378,203,8467,8177,3.425062
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3199(iou_0.00).bmp,3062,875,175,99829,99461,0.368630
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3200(iou_0.00).bmp,3063,130,37,20951,20813,0.658680
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3201(iou_0.00).bmp,3064,129,70,1883,1692,10.143388
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3202(iou_0.00).bmp,3065,504,140,97351,97023,0.336925
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3203(iou_0.00).bmp,3066,605,182,102368,101663,0.688692
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3204(iou_0.00).bmp,3067,1076,542,91239,90408,0.910795
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3205(iou_0.00).bmp,3068,508,109,51837,51536,0.580666
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3206(iou_0.00).bmp,3069,898,254,96443,96347,0.099541
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3207(iou_0.00).bmp,3070,6,4,31,26,16.129032
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3208(iou_0.00).bmp,3071,55,32,514,493,4.085603
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3209(iou_0.00).bmp,3072,486,113,65973,65565,0.618435
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3210(iou_0.00).bmp,3073,870,212,100200,99512,0.686627
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3211(iou_0.00).bmp,3074,1034,475,115691,114995,0.601603
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3212(iou_0.00).bmp,3075,158,44,14195,14105,0.634026
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3213(iou_0.00).bmp,3076,431,173,35151,34907,0.694148
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3214(iou_0.00).bmp,3077,932,204,103723,103300,0.407817
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3215(iou_0.00).bmp,3078,606,286,72459,71954,0.696946
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3216(iou_0.00).bmp,3079,951,210,101864,101218,0.634179
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3217(iou_0.00).bmp,3080,643,321,37853,37227,1.653766
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3222(iou_0.00).bmp,3081,169,90,3500,3436,1.828571
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3223(iou_0.00).bmp,3082,95,23,13365,13319,0.344183
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3224(iou_0.00).bmp,3083,24,8,3814,3778,0.943891
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3225(iou_0.00).bmp,3084,398,119,69704,69762,26464398772011008.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3226(iou_0.00).bmp,3085,517,112,65444,64922,0.797629
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3227(iou_0.00).bmp,3086,405,86,54191,53880,0.573896
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3228(iou_0.00).bmp,3087,57,17,17365,17454,106229453356531712.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3229(iou_0.00).bmp,3088,230,73,30981,30675,0.987702
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3230(iou_0.00).bmp,3089,40,24,629,617,1.907790
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3231(iou_0.00).bmp,3090,270,83,29719,29570,0.501363
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3232(iou_0.00).bmp,3091,321,89,58332,57818,0.881163
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3233(iou_0.00).bmp,3092,107,34,36725,36652,0.198775
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3234(iou_0.00).bmp,3093,867,184,98626,98145,0.487701
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3235(iou_0.00).bmp,3094,692,315,73173,72991,0.248726
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3236(iou_0.00).bmp,3095,416,101,53918,53665,0.469231
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3237(iou_0.00).bmp,3096,131,54,34072,33806,0.780700
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3238(iou_0.00).bmp,3097,33,16,526,517,1.711027
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3240(iou_0.00).bmp,3098,40,18,883,716,18.912798
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3241(iou_0.00).bmp,3099,482,194,53506,53496,0.018689
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3242(iou_0.00).bmp,3100,542,129,60382,59914,0.775065
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3243(iou_0.00).bmp,3101,370,94,60734,60305,0.706359
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3244(iou_0.00).bmp,3102,668,135,79977,79542,0.543906
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3245(iou_0.00).bmp,3103,876,201,97837,97386,0.460971
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3246(iou_0.00).bmp,3104,564,183,100149,99752,0.396409
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3247(iou_0.00).bmp,3105,898,176,99386,98686,0.704325
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3248(iou_0.00).bmp,3106,758,175,115408,114738,0.580549
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3249(iou_0.00).bmp,3107,695,205,97506,97435,0.072816
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3250(iou_0.00).bmp,3108,114,31,24701,24584,0.473665
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3251(iou_0.00).bmp,3109,97,32,14917,14848,0.462559
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3252(iou_0.00).bmp,3110,400,96,54824,54671,0.279075
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3253(iou_0.00).bmp,3111,421,114,16374,16381,112658753110671360.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3254(iou_0.00).bmp,3112,585,277,13001,12709,2.245981
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3255(iou_0.00).bmp,3113,431,120,74176,73702,0.639021
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3256(iou_0.00).bmp,3114,250,60,30206,30149,0.188704
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3257(iou_0.00).bmp,3115,578,146,55571,54808,1.373018
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3258(iou_0.00).bmp,3116,330,73,42688,42479,0.489599
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3259(iou_0.00).bmp,3117,518,183,101156,100623,0.526909
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3260(iou_0.00).bmp,3118,1229,621,144843,144184,0.454975
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_3261(iou_0.00).bmp,3119,407,94,49287,49247,0.081157
